date,stock,code,industry,distinct_buyers,buyers,disclosed_buy_amount_w,consensus_level
2026-07-20,东山精密,002384,C39计算机、通信和其他电子设备制造业,2,交易猿、葛卫东,80500.0,多游资共识
2026-07-20,汇金股份,300368,I65软件和信息技术服务业,2,江苏路、炒股养家,3516.0,多游资共识
2026-07-20,金开新能,600821,D44电力、热力生产和供应业,2,温州帮、炒股养家,3262.0,多游资共识
2026-07-20,天通股份,600330,C39计算机、通信和其他电子设备制造业,1,上海自贸区,16900.0,单席位
2026-07-20,云赛智联,600602,I65软件和信息技术服务业,1,紫阳东路,12800.0,单席位
2026-07-20,航天工程,603698,C35专用设备制造业,1,佛山系,10900.0,单席位
2026-07-20,湘财股份,600095,J67资本市场服务,1,知春路,6989.0,单席位
2026-07-20,德明利,001309,C39计算机、通信和其他电子设备制造业,1,欢乐海岸,6182.0,单席位
2026-07-20,艾艾精工,603580,C29橡胶和塑料制品业,1,五星路,5659.0,单席位
2026-07-20,晋控电力,000767,D44电力、热力生产和供应业,1,江苏路,5209.0,单席位
2026-07-20,中船特气,688146,C39计算机、通信和其他电子设备制造业,1,宁波桑田路,4172.0,单席位
2026-07-20,香江控股,600162,K70房地产业,1,思明南路,3803.0,单席位
2026-07-20,华能蒙电,600863,D44电力、热力生产和供应业,1,江苏路,3370.0,单席位
2026-07-20,古井贡酒,000596,C15酒、饮料和精制茶制造业,1,成都系,3353.0,单席位
2026-07-20,粤电力A,000539,D44电力、热力生产和供应业,1,炒股养家,1938.0,单席位
2026-07-20,恒尚节能,603137,E50建筑装饰、装修和其他建筑业,1,低位挖掘,1890.0,单席位
2026-07-20,三孚股份,603938,C26化学原料和化学制品制造业,1,江苏路,1883.0,单席位
2026-07-20,金达莱,688057,N77生态保护和环境治理业,1,温州帮,1092.0,单席位
2026-07-20,龙鑫智能,920117,未分类,1,孙哥,676.0,单席位
2026-07-20,慧辰股份,688500,I65软件和信息技术服务业,1,作手新一,521.0,单席位
2026-07-20,立方控股,920130,未分类,1,低位挖掘,424.0,单席位
2026-07-20,善水科技,301190,C26化学原料和化学制品制造业,1,炒股养家,,单席位
2026-07-22,托伦斯,301583,C34通用设备制造业,3,呼家楼、孙哥、学院南路,20420.0,多游资共识
2026-07-22,山金国际,000975,B09有色金属矿采选业,2,成都系、炒股养家,15304.0,多游资共识
2026-07-22,紫光股份,000938,C39计算机、通信和其他电子设备制造业,1,作手新一,92100.0,单席位
2026-07-22,德明利,001309,C39计算机、通信和其他电子设备制造业,1,屠文斌,9204.0,单席位
2026-07-22,贤丰控股,002141,C38电气机械和器材制造业,1,紫阳东路,5979.0,单席位
2026-07-22,金牛化工,600722,C26化学原料和化学制品制造业,1,紫阳东路,5711.0,单席位
2026-07-22,华通线缆,605196,C38电气机械和器材制造业,1,温州帮,5588.0,单席位
2026-07-22,立新能源,001258,D44电力、热力生产和供应业,1,宁波桑田路,4808.0,单席位
2026-07-22,创业黑马,300688,L72商务服务业,1,作手新一,4650.0,单席位
2026-07-22,证通电子,002197,I65软件和信息技术服务业,1,作手新一,3419.0,单席位
2026-07-22,美利云,000815,C22造纸和纸制品业,1,温州帮,1997.0,单席位
2026-07-22,招金黄金,000506,B09有色金属矿采选业,1,江苏路,1871.0,单席位
2026-07-22,瑞斯康达,603803,C39计算机、通信和其他电子设备制造业,1,江苏路,1666.0,单席位
2026-07-22,星辉环材,300834,C26化学原料和化学制品制造业,1,温州帮,1554.0,单席位
2026-07-22,万邦医药,301520,M73研究和试验发展,1,独股一剑,1007.0,单席位
2026-07-23,宏桥控股,002379,C32有色金属冶炼和压延加工业,2,中山东路、章盟主,6891.0,多游资共识
2026-07-23,北方长龙,301357,C41其他制造业,2,杭州帮、江苏路,2877.0,多游资共识
2026-07-23,红板科技,603459,C39计算机、通信和其他电子设备制造业,1,紫阳东路,12800.0,单席位
2026-07-23,盛达资源,000603,B09有色金属矿采选业,1,知春路,11200.0,单席位
2026-07-23,华电辽能,600396,D44电力、热力生产和供应业,1,知春路,8085.0,单席位
2026-07-23,珍宝岛,603567,C27医药制造业,1,紫阳东路,6676.0,单席位
2026-07-23,扬电科技,301012,C38电气机械和器材制造业,1,孙哥,3629.0,单席位
2026-07-23,美利云,000815,C22造纸和纸制品业,1,中山东路,2964.0,单席位
2026-07-23,通源石油,300164,B11开采专业及辅助性活动,1,温州帮,2089.0,单席位
2026-07-23,晶华新材,603683,C26化学原料和化学制品制造业,1,章盟主,1826.0,单席位
2026-07-23,百合花,603823,C26化学原料和化学制品制造业,1,深南东路,1622.0,单席位
2026-07-23,双杰电气,300444,C38电气机械和器材制造业,1,江苏路,1549.0,单席位
2026-07-23,三旺通信,688618,C39计算机、通信和其他电子设备制造业,1,深南东路,1393.0,单席位
2026-07-23,长缆科技,002879,C38电气机械和器材制造业,1,江苏路,1102.0,单席位
2026-07-23,新中港,605162,D44电力、热力生产和供应业,1,江苏路,927.0,单席位
2026-07-23,湖南天雁,600698,C36汽车制造业,1,中山东路,474.0,单席位
2026-07-27,雅克科技,002409,C26化学原料和化学制品制造业,2,成都系、紫阳东路,36700.0,多游资共识
2026-07-27,风华高科,000636,C39计算机、通信和其他电子设备制造业,2,成都系、江苏路,27568.0,多游资共识
2026-07-27,中船特气,688146,C39计算机、通信和其他电子设备制造业,1,江苏路,19600.0,单席位
2026-07-27,江海股份,002484,C39计算机、通信和其他电子设备制造业,1,紫阳东路,13800.0,单席位
2026-07-27,多氟多,002407,C26化学原料和化学制品制造业,1,江苏路,7684.0,单席位
2026-07-27,哈药股份,600664,C27医药制造业,1,葛卫东,6159.0,单席位
2026-07-27,贤丰控股,002141,C38电气机械和器材制造业,1,紫阳东路,4553.0,单席位
2026-07-27,红板科技,603459,C39计算机、通信和其他电子设备制造业,1,杭州帮,4361.0,单席位
2026-07-27,狮头股份,600539,F52零售业,1,作手新一,3739.0,单席位
2026-07-27,新风光,688663,C38电气机械和器材制造业,1,山东帮,1985.0,单席位
2026-07-27,宿迁联盛,603065,C26化学原料和化学制品制造业,1,低位挖掘,1815.0,单席位
2026-07-27,兴业科技,002674,C19皮革、毛皮、羽毛及其制品和制鞋业,1,温州帮,741.0,单席位
2026-07-28,海南海药,000566,C27医药制造业,2,江苏路、紫阳东路,10778.0,多游资共识
2026-07-28,科蓝软件,300663,I65软件和信息技术服务业,2,成都系、江苏路,4922.0,多游资共识
2026-07-28,中际旭创,300308,C39计算机、通信和其他电子设备制造业,1,中山东路,66200.0,单席位
2026-07-28,波长光电,301421,C40仪器仪表制造业,1,作手新一,24400.0,单席位
2026-07-28,岩山科技,002195,I64互联网和相关服务,1,成都系,17800.0,单席位
2026-07-28,共进股份,603118,C39计算机、通信和其他电子设备制造业,1,中山东路,10100.0,单席位
2026-07-28,景旺电子,603228,C39计算机、通信和其他电子设备制造业,1,欢乐海岸,5968.0,单席位
2026-07-28,嘉美包装,002969,C33金属制品业,1,炒股养家,3881.0,单席位
2026-07-28,矩子科技,300802,C39计算机、通信和其他电子设备制造业,1,低位挖掘,3628.0,单席位
2026-07-28,爱朋医疗,300753,C35专用设备制造业,1,江苏路,2431.0,单席位
2026-07-28,塞力医疗,603716,F51批发业,1,温州帮,1899.0,单席位
2026-07-28,东方新能,002310,D44电力、热力生产和供应业,1,独股一剑,1606.0,单席位
2026-07-28,必贝特,688759,C27医药制造业,1,温州帮,1427.0,单席位
