date	stock	buyer_seat_count	quality	source_image	note
2026-07-20	广西能源	3	verified	18.jpg	东财拉萨买方席位
2026-07-20	恒尚节能	3	verified	18.jpg	东财拉萨买方席位
2026-07-20	美诺华	3	verified	18.jpg	东财拉萨买方席位
2026-07-20	韶能股份	3	verified	18.jpg	东财拉萨买方席位
2026-07-20	万邦医药	4	verified	18.jpg	东财拉萨买方席位
2026-07-27	狮头股份	4	verified	15.jpg	东财拉萨买方席位
2026-07-27	中曼石油	3	verified	15.jpg	东财拉萨买方席位
2026-07-27	合百集团	3	verified	15.jpg	东财拉萨买方席位
2026-07-27	金牛化工	3	verified	15.jpg	东财拉萨买方席位
2026-07-28	立新能源	3	verified	14.jpg	东财拉萨买方席位
2026-07-28	金牛化工	2	verified	14.jpg	东财拉萨买方席位
2026-07-29	狮头股份	4	verified	13.jpg	东财拉萨买方席位
2026-07-29	立新能源	4	verified	13.jpg	东财拉萨买方席位
2026-07-29	万邦医药	5	verified	13.jpg	东财拉萨买方席位
2026-07-30	东百集团	3	verified	12.jpg	东财拉萨买方席位
2026-07-30	陇神戎发	3	verified	12.jpg	东财拉萨买方席位
2026-07-30	万邦医药	5	verified	12.jpg	东财拉萨买方席位
2026-08-06	翔鹭钨业	3	verified	7.jpg	东财拉萨买方席位
2026-08-06	一鸣食品	2	verified	7.jpg	东财拉萨买方席位
2026-08-06	中公教育	2	verified	7.jpg	东财拉萨买方席位
2026-08-06	万邦医药	3	verified	7.jpg	东财拉萨买方席位
2026-08-06	立新能源	3	verified	7.jpg	东财拉萨买方席位
2026-08-06	欣兴工具	3	obscured	7.jpg	股票名末部被头像遮挡，暂按图片可见字标记，不纳入风格统计
2026-08-12	甘咨询	2	verified	3.jpg	东财拉萨买方席位
2026-08-12	欣天科技	4	verified	3.jpg	东财拉萨买方席位
2026-08-12	瑞纳智能	2	verified	3.jpg	东财拉萨买方席位
2026-08-12	羚锐制药	2	verified	3.jpg	东财拉萨买方席位
2026-08-13	百花医药	3	verified	2.jpg	东财拉萨买方席位
2026-08-13	达实智能	2	verified	2.jpg	东财拉萨买方席位
2026-08-13	传智教育	3	verified	2.jpg	东财拉萨买方席位
2026-08-13	甘咨询	3	verified	2.jpg	东财拉萨买方席位
2026-08-13	高争民爆	2	verified	2.jpg	东财拉萨买方席位
2026-08-14	省广集团	3	verified	1.jpg	东财拉萨买方席位
2026-08-14	甘咨询	4	verified	1.jpg	东财拉萨买方席位
2026-08-14	北部湾港	4	verified	1.jpg	东财拉萨买方席位
2026-08-14	鸿博股份	3	verified	1.jpg	东财拉萨买方席位
2026-08-14	渤海化学	2	verified	1.jpg	东财拉萨买方席位
2026-08-14	安记食品	2	verified	1.jpg	东财拉萨买方席位
