tx_index,buy_date,trader,stock,code,industry,amount_w,buy_price_est,shares_est,remaining,realized_shares,realized_proceeds,first_sell_date,last_sell_date,window,source_quality,return_confidence,source_image,note,realized_exit_price_est,realized_return_pct,open_shares_est,end_close,unrealized_return_pct,blended_return_pct,holding_calendar_days_to_first_sell,status
0,2026-07-20,葛卫东,东山精密,002384,C39计算机、通信和其他电子设备制造业,48700.0,225.90350944330154,2155787.668815432,0.0,2155787.668815432,355545281.39801633,2026-07-30,2026-07-30,单日,verified,中,18.jpg,,164.92592779018088,-0.2699275535975024,0.0,205.19,-0.09169184442661493,-0.2699275535975024,10.0,已全部卖出
24,2026-07-20,炒股养家,金开新能,600821,D44电力、热力生产和供应业,1796.0,6.049013410342774,2969079.2169995,2969079.2169995,0.0,0.0,,,单日,verified,中,18.jpg,,,,2969079.2169995,6.93,0.1456413682520341,0.1456413682520341,,持有至截止日
25,2026-07-20,炒股养家,汇金股份,300368,I65软件和信息技术服务业,1637.0,9.087315168026244,1801412.1550001823,1801412.1550001823,0.0,0.0,,,单日,verified,中,18.jpg,,,,1801412.1550001823,9.13,0.004697188463754776,0.004697188463754776,,持有至截止日
26,2026-07-20,炒股养家,善水科技,301190,C26化学原料和化学制品制造业,,16.411682185339124,,,0.0,0.0,,,单日,obscured,不可计算,18.jpg,金额被头像遮挡,,,,18.04,0.09921699654380856,,,不可计算
29,2026-07-20,思明南路,香江控股,600162,K70房地产业,3803.0,2.8300537358665885,13437907.386007588,13437907.386007588,0.0,0.0,,,单日,verified,中,18.jpg,,,,13437907.386007588,4.7,0.6607458510185555,0.6607458510185555,,持有至截止日
30,2026-07-20,成都系,古井贡酒,000596,C15酒、饮料和精制茶制造业,3353.0,91.73059563414886,365526.89719500387,365526.89719500387,0.0,0.0,,,单日,verified,中,18.jpg,,,,365526.89719500387,99.36,0.08317186117791775,0.08317186117791775,,持有至截止日
31,2026-07-20,低位挖掘,恒尚节能,603137,E50建筑装饰、装修和其他建筑业,1890.0,29.557388721861713,639434.02368359,0.0,639434.02368359,16582628.54839851,2026-07-27,2026-07-27,单日,verified,中,18.jpg,,25.933290901336306,-0.12261224611648103,0.0,26.08,-0.11764871229269691,-0.12261224611648103,7.0,已全部卖出
32,2026-07-20,低位挖掘,立方控股,920130,未分类,424.0,17.313141793503338,244900.66855404817,244900.66855404817,0.0,0.0,,,单日,verified,中,18.jpg,,,,244900.66855404817,18.63,0.07606119225516905,0.07606119225516905,,持有至截止日
34,2026-07-20,孙哥,龙鑫智能,920117,未分类,676.0,26.051207727331814,259488.92929473272,259488.92929473272,0.0,0.0,,,单日,verified,中,18.jpg,,,,259488.92929473272,34.65,0.33007269231693614,0.33007269231693614,,持有至截止日
36,2026-07-20,温州帮,金开新能,600821,D44电力、热力生产和供应业,1466.0,6.049013410342774,2423535.708308055,2423535.708308055,0.0,0.0,,,单日,verified,中,18.jpg,,,,2423535.708308055,6.93,0.1456413682520341,0.1456413682520341,,持有至截止日
37,2026-07-20,温州帮,金达莱,688057,N77生态保护和环境治理业,1092.0,16.54321289601183,660089.431759205,660089.431759205,0.0,0.0,,,单日,verified,中,18.jpg,,,,660089.431759205,18.32,0.1074027829513402,0.1074027829513402,,持有至截止日
43,2026-07-20,上海自贸区,天通股份,600330,C39计算机、通信和其他电子设备制造业,16900.0,18.473268710528636,9148353.907918869,9148353.907918869,0.0,0.0,,,单日,verified,中,18.jpg,,,,9148353.907918869,24.98,0.3522241456793689,0.3522241456793689,,持有至截止日
23,2026-07-20,炒股养家,粤电力A,000539,D44电力、热力生产和供应业,1938.0,5.664105936120855,3421546.1749065863,3421546.1749065863,0.0,0.0,,,单日,verified,中,18.jpg,,,,3421546.1749065863,5.76,0.01693013247997599,0.01693013247997599,,持有至截止日
22,2026-07-20,欢乐海岸,德明利,001309,C39计算机、通信和其他电子设备制造业,6182.0,484.05428224361305,127712.94928631054,127712.94928631054,0.0,0.0,,,单日,verified,中,18.jpg,,,,127712.94928631054,406.19,-0.16085857537032555,-0.16085857537032555,,持有至截止日
28,2026-07-20,宁波桑田路,中船特气,688146,C39计算机、通信和其他电子设备制造业,4172.0,221.98897050865304,187937.2651010775,0.0,187937.2651010775,50969350.63276309,2026-07-27,2026-07-27,单日,verified,中,18.jpg,,271.20406698134326,0.2217006383692015,0.0,300.96,0.3557430322344266,0.2217006383692015,7.0,已全部卖出
20,2026-07-20,交易猿,东山精密,002384,C39计算机、通信和其他电子设备制造业,31800.0,225.90350944330154,1407680.654380508,1407680.654380508,0.0,0.0,,,单日,verified,中,18.jpg,,,,1407680.654380508,205.19,-0.09169184442661493,-0.09169184442661504,,持有至截止日
3,2026-07-20,紫阳东路,云赛智联,600602,I65软件和信息技术服务业,12800.0,18.950713275205256,6754363.18101402,0.0,6754363.18101402,127999999.99999999,2026-07-20,2026-07-20,3日,verified,低,18.jpg,3日榜单无法定位逐笔成交日，收益为区间VWAP估算,18.950713275205256,0.0,0.0,20.56,0.08491958595037685,0.0,0.0,已全部卖出
21,2026-07-20,佛山系,航天工程,603698,C35专用设备制造业,10900.0,24.20720361590633,4502791.884989851,4502791.884989851,0.0,0.0,,,单日,verified,中,18.jpg,,,,4502791.884989851,23.87,-0.013929887204516045,-0.013929887204516045,,持有至截止日
7,2026-07-20,知春路,湘财股份,600095,J67资本市场服务,6989.0,8.991988969848324,7772473.947015852,0.0,7772473.947015852,69890000.0,2026-07-20,2026-07-20,3日,verified,低,18.jpg,3日榜单无法定位逐笔成交日，收益为区间VWAP估算,8.991988969848324,0.0,0.0,7.94,-0.11699179940898752,0.0,0.0,已全部卖出
9,2026-07-20,作手新一,慧辰股份,688500,I65软件和信息技术服务业,521.0,27.45999989137181,189730.51786635406,189730.51786635406,0.0,0.0,,,单日,verified,中,18.jpg,,,,189730.51786635406,37.55,0.3674435596701717,0.3674435596701715,,持有至截止日
12,2026-07-20,江苏路,汇金股份,300368,I65软件和信息技术服务业,1879.0,9.087315168026244,2067717.4338700932,2067717.4338700932,0.0,0.0,,,单日,verified,中,18.jpg,,,,2067717.4338700932,9.13,0.004697188463754776,0.004697188463754776,,持有至截止日
13,2026-07-20,江苏路,华能蒙电,600863,D44电力、热力生产和供应业,3370.0,4.862997241394935,6929882.606787838,6929882.606787838,0.0,0.0,,,单日,verified,中,18.jpg,,,,6929882.606787838,4.85,-0.002672681218961026,-0.002672681218960915,,持有至截止日
14,2026-07-20,江苏路,三孚股份,603938,C26化学原料和化学制品制造业,1883.0,43.40209762934098,433849.9986984596,433849.9986984596,0.0,0.0,,,单日,verified,中,18.jpg,,,,433849.9986984596,44.22,0.0188447659291493,0.0188447659291493,,持有至截止日
19,2026-07-20,五星路,艾艾精工,603580,C29橡胶和塑料制品业,5659.0,45.57195966447681,1241772.362142059,1241772.362142059,0.0,0.0,,,单日,verified,中,18.jpg,,,,1241772.362142059,52.91,0.16102095212822642,0.16102095212822642,,持有至截止日
11,2026-07-20,江苏路,晋控电力,000767,D44电力、热力生产和供应业,5209.0,3.6576884101763447,14241234.943653561,14241234.943653561,0.0,0.0,,,单日,verified,中,18.jpg,,,,14241234.943653561,3.8,0.038907521326233985,0.038907521326233985,,持有至截止日
63,2026-07-22,成都系,山金国际,000975,B09有色金属矿采选业,10100.0,22.161889017005297,4557373.242077898,4557373.242077898,0.0,0.0,,,单日,verified,中,17.jpg,,,,4557373.242077898,25.77,0.16280701434007372,0.1628070143400735,,持有至截止日
