stock,code,canonical_name,industry,updateDate
ST天际,002759,ST天际,C26化学原料和化学制品制造业,2026-08-10
ST禾信,688622,*ST禾信,C40仪器仪表制造业,2026-08-10
ST荣科,300290,ST荣科,I65软件和信息技术服务业,2026-08-10
一博科技,301366,一博科技,C39计算机、通信和其他电子设备制造业,2026-08-10
一鸣食品,605179,一鸣食品,C14食品制造业,2026-08-10
万通智控,300643,万通智控,C36汽车制造业,2026-08-10
万邦医药,301520,万邦医药,M73研究和试验发展,2026-08-10
万集科技,300552,万集科技,C39计算机、通信和其他电子设备制造业,2026-08-10
三孚股份,603938,三孚股份,C26化学原料和化学制品制造业,2026-08-10
三旺通信,688618,三旺通信,C39计算机、通信和其他电子设备制造业,2026-08-10
东山精密,002384,东山精密,C39计算机、通信和其他电子设备制造业,2026-08-10
东方新能,002310,东方新能,D44电力、热力生产和供应业,2026-08-10
东方锆业,002167,东方锆业,C32有色金属冶炼和压延加工业,2026-08-10
东晶电子,002199,东晶电子,C39计算机、通信和其他电子设备制造业,2026-08-10
东百集团,600693,东百集团,F52零售业,2026-08-10
东阳光,600673,东阳光,S91综合,2026-08-10
中光防雷,300414,中光防雷,C39计算机、通信和其他电子设备制造业,2026-08-10
中公教育,002607,中公教育,P83教育,2026-08-10
中利集团,002309,中利集团,C38电气机械和器材制造业,2026-08-10
中国稀土,000831,中国稀土,C32有色金属冶炼和压延加工业,2026-08-10
中大力德,002896,中大力德,C34通用设备制造业,2026-08-10
中岩大地,003001,中岩大地,E48土木工程建筑业,2026-08-10
中巨芯,688549,中巨芯,C39计算机、通信和其他电子设备制造业,2026-08-10
中曼石油,603619,中曼石油,B07石油和天然气开采业,2026-08-10
中百集团,000759,中百集团,F52零售业,2026-08-10
中船特气,688146,中船特气,C39计算机、通信和其他电子设备制造业,2026-08-10
中钨高新,000657,中钨高新,C33金属制品业,2026-08-10
中际旭创,300308,中际旭创,C39计算机、通信和其他电子设备制造业,2026-08-10
中鼎股份,000887,中鼎股份,C29橡胶和塑料制品业,2026-08-10
久盛电气,301082,久盛电气,C38电气机械和器材制造业,2026-08-10
乐山电力,600644,乐山电力,D44电力、热力生产和供应业,2026-08-10
九州一轨,688485,九州一轨,N77生态保护和环境治理业,2026-08-10
云南锗业,002428,云南锗业,C32有色金属冶炼和压延加工业,2026-08-10
云赛智联,600602,云赛智联,I65软件和信息技术服务业,2026-08-10
亚泰集团,600881,亚泰集团,C30非金属矿物制品业,2026-08-10
亚邦股份,603188,亚邦股份,C26化学原料和化学制品制造业,2026-08-10
京投发展,600683,京投发展,K70房地产业,2026-08-10
任子行,300311,任子行,I65软件和信息技术服务业,2026-08-10
传智教育,003032,传智教育,P83教育,2026-08-10
依顿电子,603328,依顿电子,C39计算机、通信和其他电子设备制造业,2026-08-10
信濠光电,301051,信濠光电,C39计算机、通信和其他电子设备制造业,2026-08-10
儒意电影,002739,儒意电影,R87广播、电视、电影和录音制作业,2026-08-10
光智科技,300489,光智科技,C39计算机、通信和其他电子设备制造业,2026-08-10
光迅科技,002281,光迅科技,C39计算机、通信和其他电子设备制造业,2026-08-10
兔宝宝,002043,兔 宝 宝,C20木材加工和木、竹、藤、棕、草制品业,2026-08-10
全通教育,300359,全通教育,P83教育,2026-08-10
兰卫医学,301060,兰卫医学,F51批发业,2026-08-10
共进股份,603118,共进股份,C39计算机、通信和其他电子设备制造业,2026-08-10
兴业科技,002674,兴业科技,C19皮革、毛皮、羽毛及其制品和制鞋业,2026-08-10
凯撒文化,002425,凯撒文化,I64互联网和相关服务,2026-08-10
凯旺科技,301182,凯旺科技,C39计算机、通信和其他电子设备制造业,2026-08-10
凯迪股份,605288,凯迪股份,C38电气机械和器材制造业,2026-08-10
创业黑马,300688,创业黑马,L72商务服务业,2026-08-10
创新医疗,002173,创新医疗,Q84卫生,2026-08-10
利尔化学,002258,利尔化学,C26化学原料和化学制品制造业,2026-08-10
利欧股份,002131,利欧股份,L72商务服务业,2026-08-10
利通电子,603629,利通电子,C33金属制品业,2026-08-10
剑桥科技,603083,剑桥科技,C39计算机、通信和其他电子设备制造业,2026-08-10
北京文化,000802,北京文化,R87广播、电视、电影和录音制作业,2026-08-10
