trader,buy_count,distinct_stocks,total_buy_amount_w,exited_sample_count,quick_exit_rate_1d,median_calendar_days_to_first_sell,win_rate_est,median_blended_return_pct,top_industries,style_label,confidence,risk_rule
江苏路,60,55,183380.0,9,0.5555555555555556,1.0,0.7666666666666667,0.07214771603621495,C39计算机、通信和其他电子设备制造业(45821万)；I65软件和信息技术服务业(22841万)；L72商务服务业(16334万),快进快出/事件驱动，次日兑现风险较高,高,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
紫阳东路,35,29,450080.0,14,0.6428571428571429,1.0,0.8285714285714286,0.08671532858787567,C39计算机、通信和其他电子设备制造业(130090万)；C38电气机械和器材制造业(47732万)；C26化学原料和化学制品制造业(47411万),快进快出/事件驱动，次日兑现风险较高,高,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
温州帮,29,27,59003.0,2,0.0,3.0,0.6551724137931034,0.06661043117982146,C39计算机、通信和其他电子设备制造业(15705万)；C38电气机械和器材制造业(6633万)；C29橡胶和塑料制品业(5312万),短波段，偏好1–3日内轮动兑现,高,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
作手新一,25,24,253870.0,13,0.6923076923076923,1.0,0.6,0.03148124692581278,C39计算机、通信和其他电子设备制造业(103193万)；I65软件和信息技术服务业(55804万)；C40仪器仪表制造业(24400万),快进快出/事件驱动，次日兑现风险较高,高,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
低位挖掘,20,19,134318.0,7,0.42857142857142855,5.0,0.8,0.0774505812707782,未分类(73815万)；C39计算机、通信和其他电子设备制造业(37017万)；N77生态保护和环境治理业(6218万),样本内持有更分散，需结合新单确认是否为铺垫或波段,高,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
成都系,19,19,151061.0,1,0.0,4.0,0.8947368421052632,0.05022026561076509,C39计算机、通信和其他电子设备制造业(42347万)；B09有色金属矿采选业(20062万)；I64互联网和相关服务(18606万),样本内持有更分散，需结合新单确认是否为铺垫或波段,高,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
知春路,17,16,243916.0,8,0.875,0.5,0.7647058823529411,0.024538921970191918,C39计算机、通信和其他电子设备制造业(120855万)；C32有色金属冶炼和压延加工业(51600万)；E48土木工程建筑业(19700万),快进快出/事件驱动，次日兑现风险较高,高,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
新闻路,16,14,70051.0,7,0.5714285714285714,1.0,0.625,0.10043768299778211,C39计算机、通信和其他电子设备制造业(18772万)；C23印刷和记录媒介复制业(11466万)；C32有色金属冶炼和压延加工业(11300万),快进快出/事件驱动，次日兑现风险较高,高,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
炒股养家,16,16,28628.0,3,0.6666666666666666,1.0,0.875,0.034316958339059456,B09有色金属矿采选业(5204万)；C33金属制品业(3881万)；D44电力、热力生产和供应业(3734万),快进快出/事件驱动，次日兑现风险较高,高,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
中山东路,13,13,108286.0,3,0.3333333333333333,2.0,0.6923076923076923,0.0998504522886281,C39计算机、通信和其他电子设备制造业(76300万)；C38电气机械和器材制造业(10400万)；I64互联网和相关服务(4036万),短波段，偏好1–3日内轮动兑现,中,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
葛卫东,11,7,121101.0,3,0.6666666666666666,0.0,0.5454545454545454,0.003192706595713579,C39计算机、通信和其他电子设备制造业(54781万)；C27医药制造业(22249万)；D44电力、热力生产和供应业(17600万),快进快出/事件驱动，次日兑现风险较高,中,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
深南东路,10,9,57584.0,2,0.5,3.5,0.7,0.07399171612687294,C32有色金属冶炼和压延加工业(36900万)；D45燃气生产和供应业(7713万)；C26化学原料和化学制品制造业(5038万),快进快出/事件驱动，次日兑现风险较高,中,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
呼家楼,8,7,67596.0,3,0.6666666666666666,1.0,0.625,0.025681984506349176,C39计算机、通信和其他电子设备制造业(24685万)；C27医药制造业(16900万)；C26化学原料和化学制品制造业(10500万),快进快出/事件驱动，次日兑现风险较高,中,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
杭州帮,6,5,58233.0,0,,,1.0,0.18130545543031273,C39计算机、通信和其他电子设备制造业(53661万)；I65软件和信息技术服务业(3406万)；C41其他制造业(1166万),样本内持有更分散，需结合新单确认是否为铺垫或波段,中,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
宁波桑田路,6,5,33772.0,3,0.0,6.0,1.0,0.28039956799384325,C39计算机、通信和其他电子设备制造业(23050万)；M73研究和试验发展(5914万)；D44电力、热力生产和供应业(4808万),样本内持有更分散，需结合新单确认是否为铺垫或波段,中,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
佛山系,6,6,25439.0,2,1.0,0.5,0.3333333333333333,-0.0069649436022580224,C35专用设备制造业(15888万)；C14食品制造业(4545万)；C38电气机械和器材制造业(2041万),快进快出/事件驱动，次日兑现风险较高,中,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
玉兰路,6,4,13268.0,2,0.0,4.5,0.8333333333333334,0.08329126957237043,I65软件和信息技术服务业(8257万)；C39计算机、通信和其他电子设备制造业(4519万)；C36汽车制造业(492万),样本内持有更分散，需结合新单确认是否为铺垫或波段,中,新图出现该席位后，先查其历史1日兑现率与同股后续卖出；不得把龙头席位等同于买入建议
