date	trader	side	stock	amount_w	window	quality	source_image	note
2026-07-20	葛卫东	买入	东山精密	48700	单日	verified	18.jpg	
2026-07-20	葛卫东	卖出	光迅科技	48600	单日	verified	18.jpg	
2026-07-20	呼家楼	卖出	豫能控股	13200	单日	verified	18.jpg	
2026-07-20	紫阳东路	买入	云赛智联	12800	3日	verified	18.jpg	
2026-07-20	紫阳东路	卖出	云赛智联	13000	3日	verified	18.jpg	
2026-07-20	紫阳东路	卖出	共进股份	23400	单日	verified	18.jpg	
2026-07-20	紫阳东路	卖出	星网锐捷	12700	单日	verified	18.jpg	
2026-07-20	知春路	买入	湘财股份	6989	3日	verified	18.jpg	
2026-07-20	知春路	卖出	湘财股份	8055	3日	verified	18.jpg	
2026-07-20	作手新一	买入	慧辰股份	521	单日	verified	18.jpg	
2026-07-20	作手新一	卖出	中岩大地	7274	单日	verified	18.jpg	
2026-07-20	江苏路	买入	晋控电力	5209	单日	verified	18.jpg	
2026-07-20	江苏路	买入	汇金股份	1879	单日	verified	18.jpg	
2026-07-20	江苏路	买入	华能蒙电	3370	单日	verified	18.jpg	
2026-07-20	江苏路	买入	三孚股份	1883	单日	verified	18.jpg	
2026-07-20	江苏路	卖出	赣能股份	1234	单日	verified	18.jpg	
2026-07-20	江苏路	卖出	托伦斯	2264	单日	verified	18.jpg	
2026-07-20	江苏路	卖出	赤天化	1103	单日	verified	18.jpg	
2026-07-20	江苏路	卖出	中巨芯	5362	单日	verified	18.jpg	
2026-07-20	五星路	买入	艾艾精工	5659	单日	verified	18.jpg	
2026-07-20	交易猿	买入	东山精密	31800	单日	verified	18.jpg	
2026-07-20	佛山系	买入	航天工程	10900	单日	verified	18.jpg	
2026-07-20	欢乐海岸	买入	德明利	6182	单日	verified	18.jpg	
2026-07-20	炒股养家	买入	粤电力A	1938	单日	verified	18.jpg	
2026-07-20	炒股养家	买入	金开新能	1796	单日	verified	18.jpg	
2026-07-20	炒股养家	买入	汇金股份	1637	单日	verified	18.jpg	
2026-07-20	炒股养家	买入	善水科技		单日	obscured	18.jpg	金额被头像遮挡
2026-07-20	炒股养家	卖出	赣能股份	1739	单日	verified	18.jpg	
2026-07-20	宁波桑田路	买入	中船特气	4172	单日	verified	18.jpg	
2026-07-20	思明南路	买入	香江控股	3803	单日	verified	18.jpg	
2026-07-20	成都系	买入	古井贡酒	3353	单日	verified	18.jpg	
